Amanda,97,54,969,most intelligent,desperate,S
Guliston,77,55,254,most attractive,desperate,S
Nina,15,83,275,most attractive,normal,S
Veronica,13,36,1066,most rich,choosy,S
Sansa,48,37,296,most attractive,desperate,S
Anjali,44,72,1483,most rich,normal,S
Pooja,85,70,927,most attractive,normal,S
Ankita,31,50,3965,most intelligent,choosy,S
Neha,86,88,751,most attractive,choosy,S
Anny,76,89,4499,most attractive,normal,S
Ozge,31,53,1368,most rich,desperate,S
Ecenaz,84,47,3129,most attractive,choosy,S
Jesse,26,90,352,most intelligent,desperate,S
