Amanda,12,40,3012,most intelligent,desperate,S
Guliston,61,36,4080,most rich,choosy,S
Nina,71,59,575,most rich,normal,S
Veronica,52,31,2696,most rich,choosy,S
Sansa,82,32,1093,most rich,normal,S
Anjali,10,61,3401,most rich,normal,S
Pooja,17,36,787,most rich,choosy,S
Ankita,26,82,349,most rich,choosy,S
Neha,87,58,3246,most attractive,normal,S
Anny,93,75,1349,most rich,desperate,S
Ozge,76,90,313,most rich,choosy,S
Ecenaz,65,66,622,most rich,choosy,S
Jesse,67,28,2686,most rich,normal,S
