Ajit,74,34,1909,10,geeks,S
Abhishek,99,100,3206,45,generous,S
Rahul,51,72,2679,35,generous,S
Tussank,81,78,1332,28,geeks,S
Saurav,18,64,4511,17,miser,S
Tim,79,63,2900,24,generous,S
Joe,68,65,880,11,generous,S
Jimmy,77,95,1080,11,miser,S
Leonardo,25,52,1867,35,miser,S
Tom,84,98,4290,22,geeks,S
Eminem,28,67,889,35,geeks,S
Sam,58,54,1998,39,generous,S
Lucifer,50,53,4449,34,miser,S
Dante,57,26,657,44,generous,S
Adam,26,56,2277,31,geeks,S
Michael,41,99,2557,21,geeks,S
Light,79,62,4213,41,generous,S
Kira,67,34,1933,25,miser,S
Walter,64,85,4805,15,geeks,S
